Simulation Number,Served Customers,Lost Customers,Unserved at Timeout,Failure Count,Avg Service Time (min),Avg Failure Duration (min),expected_arrival,expected_service,expected_failure_time,expected_failure_duration
83,153,0,87,0,3.1338690882601394,0,2.0,4.23,137.66,10.0
84,137,36,68,1,3.404057440501814,8.229244517953454,2.0,4.59,120.0,10.0
85,217,17,24,1,2.129786664338953,13.836206495919148,1.88,3.0,174.2,16.06
86,140,0,105,0,3.408554397294192,0,2.0,4.64,91.28,10.17
87,216,19,5,1,2.094960117980531,19.505031290348228,1.99,2.83,199.82,16.6
88,155,0,80,0,3.095268786907979,0,2.0,4.22,120.0,10.0
89,213,43,67,1,2.192476521835652,8.639689653117134,1.48,3.0,120.0,16.67
90,170,7,1,1,2.4564156943043316,14.03085807719945,2.72,3.36,112.8,16.82
91,220,0,21,0,2.178269924006155,0,2.0,3.0,131.96,10.0
92,209,10,24,1,2.2445201679377216,10.28477991922399,2.0,3.0,120.0,12.73
93,190,34,23,2,2.4168746483075676,8.829432828718847,2.0,3.23,120.0,10.0
94,145,19,72,1,3.234759834306583,9.539145830671686,2.0,4.36,106.91,10.0
95,215,41,95,1,2.180040046904601,8.734551560638405,1.28,3.0,145.04,11.09
96,222,0,25,0,2.13575583271781,0,2.0,3.0,120.0,7.54
97,145,96,122,2,3.148452860894035,7.807986959967202,1.26,4.3,120.0,9.51
98,139,0,70,0,3.4424290772159147,0,2.19,4.66,199.66,7.68
99,211,12,15,1,2.1869549047305084,15.099513033346078,2.0,3.0,155.96,14.72
100,234,7,0,1,1.6749466946960123,11.399058935428956,2.0,2.24,120.0,10.0
